,,,,,,,,,,,,,,
App #,1,2,3,4,5,6,7,8,9,10,11,12,13,
1,good,good,good,good,good,good,good,good,good,good,good,good,good,
2,good,good,good,good,NR,good,good,bad,bad,bad,bad,good,good,
3,good,good,good,bad,good,good,good,good,good,bad,bad,good,good,
4,good,good,good,good,good,good,good,good,good,good,NR,good,good,
5,good,good,good,good,NR,bad,bad,good,NR,bad,NR,bad,bad,
6,good,good,good,good,NR,bad,bad,bad,bad,bad,bad,bad,bad,
7,good,good,good,good,NR,good,good,good,good,good,good,good,good,
8,good,good,good,bad,bad,bad,bad,good,NR,bad,bad,good,good,
9,good,good,good,bad,bad,bad,bad,bad,bad,bad,bad,bad,bad,
10,good,good,good,good,good,good,good,bad,bad,bad,bad,good,good,
11,good,good,good,good,good,good,good,bad,NR,good,good,good,good,
12,good,good,good,good,NR,bad,NR,good,NR,bad,NR,bad,NR,
13,good,good,good,good,NR,bad,bad,good,NR,bad,bad,good,NR,
14,good,good,good,bad,NR,good,NR,bad,bad,bad,bad,good,NR,
15,good,good,good,good,good,bad,bad,good,good,bad,bad,bad,good,
16,good,good,good,good,good,bad,bad,bad,bad,bad,bad,bad,bad,
17,good,good,good,bad,good,bad,bad,bad,bad,bad,bad,good,bad,
18,good,good,good,good,NR,good,NR,bad,bad,good,NR,good,NR,
19,good,good,good,good,NR,bad,bad,good,NR,bad,bad,good,NR,
20,good,good,good,bad,good,bad,bad,bad,bad,bad,bad,bad,bad,
22,good,good,good,good,good,good,good,good,good,good,good,bad,bad,
23,good,good,good,bad,good,bad,bad,good,good,bad,bad,good,good,
24,good,good,good,good,NR,good,NR,bad,NR,bad,bad,good,NR,
