App #,"Question # 3","Question # 4","Question # 5","Question # 6","Question # 7","Question # 8","Question # 9","Question # 10","Question # 11","Question # 12"
1,good,good,good,good,good,good,good,n/a,good,good
2,good,good,good,good,good,good,good,n/a,good,good
3,good,good,good,bad,good,good,good,good,good,NR
4,good,good,good,good,good,good,good,good,n/a,n/a
5,good,good,good,good,good,NR,good,good,good,good
6,good,good,good,good,good,good,NR,n/a,n/a,n/a
7,good,good,good,good,good,good,good,n/a,good,good
8,good,good,good,good,good,NR,good,good,n/a,n/a
9,good,good,good,good,good,good,good,good,n/a,n/a
10,good,good,good,good,good,good,good,n/a,good,good
11,good,good,good,good,bad,good,NR,n/a,good,NR
12,good,good,good,good,good,NR,good,good,good,good
13,good,good,good,good,good,bad,bad,good,n/a,n/a
14,good,good,good,good,good,good,good,good,n/a,n/a
15,good,good,good,good,NR,good,good,good,n/a,n/a
16,good,good,good,good,NR,good,NR,n/a,n/a,n/a
17,good,good,good,good,good,good,good,n/a,good,good
18,good,good,good,good,good,good,good,good,n/a,good
19,good,good,good,good,good,good,NR,n/a,good,NR
20,good,good,good,good,good,good,NR,n/a,n/a,NR
21,good,good,good,good,good,bad,bad,good,good,good
22,good,good,good,good,good,good,good,n/a,good,good
23,good,good,good,good,NR,good,NR,n/a,good,NR
24,good,good,good,good,NR,good,good,n/a,good,good
25,good,good,good,good,good,good,good,n/a,good,good
26,good,good,good,good,good,good,good,n/a,n/a,good
27,good,good,good,good,good,good,good,good,good,good
28,good,good,good,good,good,bad,good,n/a,good,good
29,good,good,good,good,good,good,good,n/a,good,good
30,good,good,good,good,good,good,good,good,good,good
