App,"Typing (>= 40)","6m Basic","2y Clerical","Super Ap","Likely (L) or Not (NL)","Notes"
1,Y,Y,Y,Y,L,""
2,Y,Y,Y,Y,L,""
3,Y,"N (Y?)",Y,N,NL,""
4,?,Y,Y,N,L,""
5,?,Y,Y,N,L,""
6,?,Y,Y,N,L,""
7,Y,Y,Y,N,L,""
8,?,Y,Y,N,L,""
9,Y,Y,Y,N,L,"No transcript"
10,?,Y,Y,Y,L,""
11,?,Y,Y,Y,L,""
12,?,Y,Y,Y,L,""
13,?,Y,Y,N,L,""
14,Y,Y,Y,N,L,""
15,?,Y,Y,N,L,""
16,?,Y,N,N,NL,"Says >= 2y clerical but doesn’t reflect on application"
17,Y,Y,Y,Y,L,""
18,Y,Y,Y,N,L,""
19,?,Y,Y,Y,L,""
20,?,Y,Y,N,L,""
21,?,Y,Y,Y,L,""
22,?,Y,Y,Y,L,""
23,?,Y,Y,Y,L,""
24,Y,Y,Y,Y,L,""
25,Y,Y,Y,Y,L,""
26,Y,Y,Y,N,L,""
27,Y,Y,Y,Y,L,""
28,Y,Y,Y,Y,L,""
29,Y,Y,Y,N,L,""
30,Y,Y,Y,Y,L,""
